45,42,21
94,40,92
44,29,14
33,50,10
98,81,61
88,92,62
11,63,82
39,31,27
72,57,26
64,96,51
66,64,32
44,29,14
94,40,92
46,54,31
51,71,13
15,65,94
74,12,41
31,62,63
46,58,34
34,10,18
71,72,41
82,65,63
27,96,66
85,13,45
27,81,22
15,65,94
88,71,79
94,12,18
21,86,16
20,79,80
55,43,20
96,73,65
79,31,15
18,15,36
11,52,63
10,47,72
75,14,25
64,96,51
21,86,16
15,65,94
94,40,92
84,87,72
11,63,82
15,11,92
94,12,18
17,85,55
35,45,41
94,12,18
45,42,21
60,17,57
82,65,63
98,81,61
15,65,94
54,10,50
61,94,87
51,71,13
94,47,32
80,11,32
19,58,64
58,95,41
37,87,71
49,84,27
89,99,10
54,84,75
32,53,23
69,80,34
15,11,92
34,88,42
21,86,16
55,43,20
96,61,41
94,12,18
74,58,86
91,42,61
21,86,16
71,72,41
96,68,74
42,16,59
43,92,42
38,95,39
69,80,34
94,40,92
28,50,26
94,40,92
66,14,95
17,85,55
94,40,92
23,41,78
15,11,92
47,69,39
38,87,50
49,79,78
11,52,63
74,48,33
59,93,51
79,31,15
79,31,15
98,77,65
89,99,10
35,45,41
82,65,63
88,71,79
49,18,87
94,12,18
58,95,41
77,29,70
11,63,82
49,79,78
23,41,78
22,84,15
42,92,42
37,87,71
45,42,21
94,40,92
96,73,65
40,37,96
55,43,20
60,17,57
20,47,60
68,78,14
54,66,98
56,46,10
30,77,57
46,20,81
96,83,44
58,95,41
39,68,30
27,35,79
18,15,36
93,45,78
51,63,85
12,49,54
34,50,99
28,23,24
74,12,41
71,72,41
93,10,71
96,83,90
71,72,41
97,38,28
21,86,16
45,42,21
66,14,95
15,65,94
66,64,32
76,14,46
96,68,74
94,96,84
94,40,92
29,40,56
82,97,43
27,96,66
30,77,57
56,46,10
59,93,51
17,85,55
74,81,62
94,40,92
15,11,92
60,31,28
96,61,41
91,31,69
58,14,60
11,63,82
96,32,34
23,98,48
67,72,17
11,52,63
60,41,87
69,62,94
11,63,82
79,31,15
66,38,33
75,14,25
94,12,18
66,64,32
30,27,50
84,60,97
96,73,65
80,93,24
81,78,31
64,96,51
76,43,29
27,70,71
66,64,32
51,63,85
56,46,10
79,76,67
88,92,62
29,40,56
96,73,65
27,96,66
91,64,50
55,43,20
39,31,27
46,81,78
33,88,87
74,49,47
94,12,18
58,95,41
34,50,99
19,55,23
89,37,56
74,54,33
94,47,32
34,66,91
50,31,31
94,14,49
64,96,51
88,92,62
64,27,48
96,32,34
59,93,51
32,92,53
98,81,61
21,86,16
35,58,28
94,12,18
53,20,17
18,15,36
49,84,27
66,71,26
21,86,16
21,86,16
42,19,59
96,83,44
10,49,22
61,27,91
96,68,74
93,45,78
21,86,16
62,64,47
66,80,92
82,65,63
46,41,17
66,64,32
59,93,51
40,16,50
15,93,28
83,23,36
96,68,74
60,16,87
98,77,65
55,79,34
94,40,92
21,86,16
59,93,51
46,45,76
43,92,42
26,91,93
23,82,65
89,37,56
27,35,79
94,12,18
67,72,17
74,12,41
66,14,95
88,92,62
79,31,15
10,49,22
73,17,81
21,86,16
32,53,23
34,10,18
76,59,44
72,45,14
12,49,54
94,14,49
59,93,51
98,81,61
30,27,50
94,95,56
28,27,21
61,27,91
99,56,94
22,53,13
11,39,89
21,86,16
25,50,47
72,60,41
27,96,66
78,22,41
20,79,80
34,50,99
96,68,74
91,87,26
42,74,84
98,81,61
96,73,65
40,16,50
47,91,26
81,23,11
92,78,38
96,61,41
96,61,41
22,84,15
45,42,21
74,49,47
11,52,63
53,20,17
73,17,81
33,50,10
74,48,33
27,35,79
94,40,92
96,61,41
33,88,87
72,87,66
96,83,44
59,78,95
15,65,94
27,35,79
56,46,10
40,37,96
60,31,28
47,71,37
38,87,50
46,81,78
71,57,16
53,33,76
66,14,95
91,64,50
50,42,27
47,69,39
85,46,30
23,98,48
71,72,41
79,52,35
11,80,39
49,79,78
96,61,41
22,68,29
71,72,41
44,29,14
99,86,35
28,23,24
33,50,10
44,29,14
98,81,61
94,80,61
46,54,31
67,72,17
61,27,91
55,43,20
60,31,28
64,27,48
15,11,92
42,68,91
44,29,14
72,45,14
78,22,41
82,97,43
17,85,55
42,16,59
34,50,99
85,13,45
79,31,15
21,86,16
38,20,57
20,47,60
21,86,16
72,41,69
90,63,94
94,19,65
20,47,60
27,30,92
90,63,94
74,55,41
56,46,10
96,61,41
17,85,55
27,21,47
74,49,47
94,80,61
32,22,79
81,78,31
56,46,10
89,99,10
76,14,46
72,60,41
39,28,98
74,56,71
49,84,27
75,99,85
64,27,48
91,64,50
58,14,60
34,50,99
59,78,95
21,86,16
52,45,42
51,63,85
88,92,62
46,81,78
16,77,68
81,23,11
92,78,38
38,95,39
15,11,92
86,45,54
46,45,76
34,50,99
66,63,61
80,11,32
45,42,21
15,65,94
55,43,20
34,49,58
11,80,39
21,86,16
27,10,32
84,60,97
65,67,82
85,43,97
46,20,81
26,91,93
58,95,41
94,96,84
32,92,53
94,40,92
60,17,57
66,64,32
96,83,44
94,80,61
94,40,92
27,35,79
46,81,78
83,23,36
60,16,87
74,55,41
22,84,15
60,31,28
11,80,39
65,67,82
81,23,11
39,28,98
84,60,97
96,83,90
27,96,66
38,20,57
84,87,72
96,68,74
89,37,56
96,61,41
84,60,97
94,96,84
10,49,22
27,96,66
22,54,79
88,71,79
50,42,27
23,65,37
46,20,81
73,61,45
88,92,62
59,93,51
30,27,50
10,49,22
34,50,99
42,90,91
61,27,91
61,94,87
89,37,56
90,63,94
86,45,54
24,87,93
60,16,87
56,46,10
66,80,92
64,93,55
96,68,74
89,99,10
43,76,64
67,30,25
34,50,99
92,78,38
70,33,94
27,60,99
89,53,13
94,14,49
12,27,15
27,96,66
51,63,85
80,93,24
94,51,76
79,52,35
96,68,74
82,37,83
91,31,69
94,47,32
46,81,78
28,50,26
61,27,91
34,88,42
82,97,43
34,66,91
93,52,87
88,92,62
70,33,94
21,86,16
34,50,99
25,50,47
53,65,67
50,79,18
67,72,17
76,14,46
47,69,39
46,45,76
58,14,60
89,99,10
21,86,16
21,86,16
51,63,85
94,96,84
11,63,82
27,35,79
94,96,84
59,78,95
58,14,60
89,99,10
86,45,54
64,71,78
53,20,17
21,86,16
94,40,92
30,77,57
93,10,71
30,77,57
17,85,55
15,65,94
51,63,85
74,58,86
42,16,59
85,43,97
50,31,31
60,17,57
